target_id,name,county_id,rgid
1,Bellevue,53033,1
2,Seattle,53033,1
3,Auburn,53033,2
4,Bothell,53033,2
5,Burien,53033,2
6,Federal Way,53033,2
7,Issaquah,53033,2
8,Kent,53033,2
9,Kirkland,53033,2
10,Redmond,53033,2
11,Renton,53033,2
12,SeaTac,53033,2
13,Tukwila,53033,2
14,Des Moines,53033,3
15,Federal Way PAA,53033,3
16,Kenmore,53033,3
17,Lake Forest Park,53033,3
18,Mercer Island,53033,3
19,Newcastle,53033,3
20,North Highline,53033,3
22,Renton PAA - East Renton,53033,3
23,Renton PAA - Fairwood,53033,3
24,Renton PAA - West Hill,53033,3
25,Shoreline,53033,3
26,Woodinville,53033,3
27,Algona,53033,4
28,Beaux Arts,53033,4
29,Black Diamond,53033,4
30,Carnation,53033,4
31,Clyde Hill,53033,4
32,Covington,53033,4
33,Duvall,53033,4
34,Enumclaw,53033,4
35,Hunts Point,53033,4
36,Maple Valley,53033,4
37,Medina,53033,4
38,Milton,53033,4
39,Normandy Park,53033,4
40,North Bend,53033,4
41,Pacific,53033,4
42,Sammamish,53033,4
43,Skykomish,53033,4
44,Snoqualmie,53033,4
45,Yarrow Point,53033,4
46,Auburn PAA,53033,5
48,Bellevue PAA,53033,5
49,Black Diamond PAA,53033,5
51,Issaquah PAA,53033,5
52,Kent PAA,53033,5
62,King no growth UGA,53033,5
53,King UGA,53033,5
57,Newcastle PAA,53033,5
58,Pacific PAA,53033,5
60,Redmond PAA,53033,5
61,Sammamish PAA,53033,5
64,King Rural,53033,6
65,Bremerton,53035,1
67,Bremerton UGA,53035,1
68,Silverdale,53035,2
69,Bainbridge Island,53035,3
70,Kingston UGA,53035,3
71,Port Orchard,53035,3
72,Port Orchard UGA,53035,3
73,Poulsbo,53035,3
74,Poulsbo PUTA,53035,3
75,Central Kitsap UGA,53035,5
76,Kitsap Rural,53035,6
77,Tacoma,53053,1
78,Auburn,53053,2
79,Lakewood,53053,2
80,Puyallup,53053,2
81,University Place,53053,2
82,DuPont,53053,3
83,Fife,53053,3
84,Fircrest,53053,3
85,"Mid-County, Parkland-Spanaway-Midland, South Hill",53053,3
86,Sumner,53053,3
87,Bonney Lake,53053,4
88,Buckley,53053,4
89,Carbonado,53053,4
90,Eatonville,53053,4
91,Edgewood,53053,4
92,Gig Harbor,53053,4
93,Milton,53053,4
94,Orting,53053,4
95,Pacific,53053,4
96,Roy,53053,4
97,Ruston,53053,4
98,South Prairie,53053,4
99,Steilacoom,53053,4
100,Wilkeson,53053,4
107,Pierce UGA,53053,5
124,Pierce Rural,53053,6
125,Everett,53061,1
126,Bothell,53061,2
127,Lynnwood,53061,2
128,Arlington,53061,3
129,Bothell MUGA,53061,3
130,Edmonds,53061,3
131,Edmonds MUGA,53061,3
132,Everett MUGA,53061,3
133,Larch Way Overlap,53061,3
135,Lynnwood MUGA,53061,3
136,Marysville,53061,3
138,Mill Creek,53061,3
139,Mill Creek MUGA,53061,3
140,Mountlake Terrace,53061,3
141,Mukilteo,53061,3
142,Mukilteo MUGA,53061,3
143,Brier,53061,4
144,Darrington,53061,4
145,Gold Bar,53061,4
146,Granite Falls,53061,4
147,Index,53061,4
148,Lake Stevens,53061,4
149,Monroe,53061,4
150,Snohomish,53061,4
151,Stanwood,53061,4
152,Sultan,53061,4
153,Woodway,53061,4
155,Arlington UGA,53061,5
156,Brier MUGA,53061,5
157,Darrington UGA,53061,5
158,Gold Bar UGA,53061,5
159,Granite Falls UGA,53061,5
161,Lake Stevens UGA,53061,5
162,Lake Stickney Gap,53061,5
163,Maltby UGA,53061,5
164,Marysville UGA,53061,5
166,Monroe UGA,53061,5
167,Mountlake Terrace MUGA,53061,5
168,Paine Field Area,53061,5
169,Silver Firs Gap,53061,5
170,Snohomish UGA,53061,5
172,Stanwood UGA,53061,5
174,Sultan UGA,53061,5
175,Woodway MUGA,53061,5
176,Snohomish Rural,53061,6
